Title:,"Time Series, Area-Averaged of Total Column Water Vapor (Daytime/Ascending) daily (daily)"
User Start Date:,1990-01-01T00:00:00Z
User End Date:,2020-01-02T23:59:59Z
User Bounding Box:,"-93.6,18,-90.2,22.33"
Data Bounding Box:,"-93.5,18.5,-90.5,21.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=1990-01-01T00:00:00Z&endtime=2020-01-02T23:59:59Z&bbox=-93.6,18,-90.2,22.33&data=AIRX3STD_006_TotH2OVap_A&portal=GIOVANNI&format=json"
Fill Value (mean_AIRX3STD_006_TotH2OVap_A):, -9999

time, mean_AIRX3STD_006_TotH2OVap_A
2005-02-20,24.5395565
2005-02-21,26.3929329
2005-02-22,21.6731052
2005-02-23,26.8995438
2005-02-24,-9999
2005-02-25,41.8804092
2005-02-26,39.7415657
2005-02-27,34.4456024
2005-02-28,33.1373672
2005-03-01,30.1663685
2005-03-02,40.5275116
2005-03-03,-9999
2005-03-04,32.8267021
2005-03-05,39.1803513
2005-03-06,43.9962921
2005-03-07,42.8857079
2005-03-08,46.1389694
2005-03-09,38.8948746
2005-03-10,24.0086517
2005-03-11,35.6235161
2005-03-12,-9999
2005-03-13,35.5192795
2005-03-14,42.5776558
2005-03-15,33.4016991
2005-03-16,43.4974556
2005-03-17,28.5145092
2005-03-18,26.7184925
2005-03-19,-9999
2005-03-20,31.4834576
2005-03-21,22.7948608
2005-03-22,32.0076141
2005-03-23,34.6448212
2005-03-24,32.3089371
2005-03-25,30.2622528
2005-03-26,34.7101707
2005-03-27,41.7547112
2005-03-28,-9999
2005-03-29,34.8244362
2005-03-30,40.9729729
2005-03-31,43.7810669
2005-04-01,49.462822
2005-04-02,28.2025738
2005-04-03,23.0810356
2005-04-04,-9999
2005-04-05,27.9115353
2005-04-06,33.6544647
2005-04-07,39.2036896
2005-04-08,23.4173584
2005-04-09,25.2408028
2005-04-10,26.7869854
2005-04-11,26.5057144
2005-04-12,37.1321678
2005-04-13,-9999
2005-04-14,34.2068138
2005-04-15,26.0277977
2005-04-16,28.5660248
2005-04-17,29.0678234
2005-04-18,31.7603779
2005-04-19,34.3891869
2005-04-20,-9999
2005-04-21,40.5543823
2005-04-22,47.2935295
2005-04-23,41.8765259
2005-04-24,36.6891785
2005-04-25,42.3704071
2005-04-26,41.0079422
2005-04-27,35.2250023
2005-04-28,40.4777565
2005-04-29,-9999
2005-04-30,38.2829475
2005-05-01,33.1264496
2005-05-02,37.0992584
2005-05-03,45.4054413
2005-05-04,46.9115257
2005-05-05,42.8524399
2005-05-06,-9999
2005-05-07,36.2600822
2005-05-08,36.6471558
2005-05-09,32.2614288
2005-05-10,25.9925613
2005-05-11,31.3010311
2005-05-12,37.356739
2005-05-13,38.6652222
2005-05-14,37.7771645
2005-05-15,-9999
2005-05-16,37.8409882
2005-05-17,45.6549797
2005-05-18,42.473999
2005-05-19,41.3960915
2005-05-20,39.5173149
2005-05-21,33.8119621
2005-05-22,-9999
2005-05-23,41.8602142
2005-05-24,42.59235
2005-05-25,38.9157677
2005-05-26,35.6483078
2005-05-27,36.9495964
2005-05-28,44.6633492
2005-05-29,52.1223297
2005-05-30,49.9067345
2005-05-31,-9999
2005-06-01,41.0412216
2005-06-02,33.7457123
2005-06-03,27.0525131
2005-06-04,32.7783432
2005-06-05,41.9345016
2005-06-06,44.7915955
2005-06-07,-9999
2005-06-08,41.6495438
2005-06-09,37.4943733
2005-06-10,38.6846504
2005-06-11,31.2331963
2005-06-12,39.6753922
