Title:,"Time Series, Area-Averaged of Total Column Water Vapor (Daytime/Ascending) daily (daily)"
User Start Date:,1990-01-01T00:00:00Z
User End Date:,2020-01-02T23:59:59Z
User Bounding Box:,"-97,18,-93.6,22.33"
Data Bounding Box:,"-96.5,18.5,-94.5,21.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=1990-01-01T00:00:00Z&endtime=2020-01-02T23:59:59Z&bbox=-97,18,-93.6,22.33&data=AIRX3STD_006_TotH2OVap_A&portal=GIOVANNI&format=json"
Fill Value (mean_AIRX3STD_006_TotH2OVap_A):, -9999

time, mean_AIRX3STD_006_TotH2OVap_A
2003-08-19,-9999
2003-08-20,47.2188644
2003-08-21,40.2661171
2003-08-22,50.7949219
2003-08-23,47.7160912
2003-08-24,48.6588554
2003-08-25,49.1897926
2003-08-26,50.1767426
2003-08-27,45.6898308
2003-08-28,-9999
2003-08-29,54.4084244
2003-08-30,52.46772
2003-08-31,55.3314476
2003-09-01,45.8480415
2003-09-02,53.4114227
2003-09-03,53.0157814
2003-09-04,-9999
2003-09-05,55.5701485
2003-09-06,38.3373337
2003-09-07,51.6913872
2003-09-08,47.2477646
2003-09-09,47.2148209
2003-09-10,48.1807747
2003-09-11,44.7362061
2003-09-12,45.368454
2003-09-13,-9999
2003-09-14,48.0706596
2003-09-15,45.1745071
2003-09-16,51.10569
2003-09-17,48.1080017
2003-09-18,57.1673965
2003-09-19,49.5015564
2003-09-20,-9999
2003-09-21,49.907959
2003-09-22,37.9642181
2003-09-23,52.166584
2003-09-24,51.7191505
2003-09-25,55.1384354
2003-09-26,47.5288887
2003-09-27,50.2806206
2003-09-28,48.7466393
2003-09-29,-9999
2003-09-30,45.0651894
2003-10-01,47.295002
2003-10-02,50.8965187
2003-10-03,52.7783699
2003-10-04,45.1102371
2003-10-05,52.0680084
2003-10-06,-9999
2003-10-07,54.7009315
2003-10-08,44.1423264
2003-10-09,52.8834839
2003-10-10,52.1541367
2003-10-11,50.5457382
2003-10-12,48.1579514
2003-10-13,49.9428406
2003-10-14,45.9196129
2003-10-15,-9999
2003-10-16,45.8208961
2003-10-17,45.6546326
2003-10-18,38.4146652
2003-10-19,36.8249321
2003-10-20,34.9494934
2003-10-21,40.5749359
2003-10-22,-9999
2003-10-23,40.8499222
2003-10-24,30.0695381
2003-10-25,36.186245
2003-10-26,39.7991257
2003-10-27,38.3795242
2003-10-28,40.0463638
2003-10-29,-9999
2003-11-19,23.9262238
2003-11-20,23.3843327
2003-11-21,26.8766422
2003-11-22,29.4764023
2003-11-23,-9999
2003-11-24,37.0799751
2003-11-25,25.0065842
2003-11-26,34.4503326
2003-11-27,34.255146
2003-11-28,30.2952385
2003-11-29,13.8302202
2003-11-30,29.0287876
2003-12-01,31.3788013
2003-12-02,-9999
2003-12-03,29.0270367
2003-12-04,27.4777355
2003-12-05,26.8788338
2003-12-06,25.8235188
2003-12-07,23.9652328
2003-12-08,21.9932365
2003-12-09,-9999
2003-12-10,30.9168644
2003-12-11,21.6424313
2003-12-12,32.0530891
2003-12-13,31.8285122
2003-12-14,21.7854805
2003-12-15,18.434351
2003-12-16,22.7887745
2003-12-17,20.0429497
2003-12-18,-9999
2003-12-19,21.3463993
2003-12-20,20.348938
2003-12-21,22.9989338
2003-12-22,23.783762
2003-12-23,25.9153271
2003-12-24,24.4641361
2003-12-25,-9999
2003-12-26,26.2016525
2003-12-27,16.2361374
2003-12-28,27.7607384
2003-12-29,31.5999355
2003-12-30,36.2381058
2003-12-31,34.0920525
2004-01-01,33.4872551
2004-01-02,32.3163872
2004-01-03,-9999
2004-01-04,35.9441948
2004-01-05,31.6310806
2004-01-06,32.0720406
2004-01-07,30.0717926
2004-01-08,34.0108337
2004-01-09,36.8251495
2004-01-10,-9999
2004-01-11,29.5082703
2004-01-12,25.424799
2004-01-13,30.4432964
2004-01-14,34.0688019
2004-01-15,34.5228004
2004-01-16,39.8064079
2004-01-17,32.7458115
2004-01-18,26.9524231
2004-01-19,-9999
2004-01-20,22.2115803
2004-01-21,29.3659039
2004-01-22,35.1463585
2004-01-23,36.4561157
2004-01-24,24.9427509
2004-01-25,27.6892719
2004-01-26,-9999
2004-01-27,29.6047058
2004-01-28,20.0431232
2004-01-29,31.0830803
2004-01-30,39.7841377
2004-01-31,25.5019894
2004-02-01,18.3323689
2004-02-02,23.4834728
2004-02-03,30.5821667
2004-02-04,-9999
2004-02-05,27.3002605
2004-02-06,31.4569817
2004-02-07,23.1988907
2004-02-08,29.5109444
2004-02-09,33.836338
2004-02-10,34.8216209
2004-02-11,-9999
2004-02-12,32.1075554
2004-02-13,24.6385918
2004-02-14,30.2379208
2004-02-15,25.3977451
2004-02-16,27.7227306
2004-02-17,20.2209034
2004-02-18,15.2766237
2004-02-19,22.8714237
2004-02-20,-9999
2004-02-21,28.0562706
2004-02-22,31.2487679
2004-02-23,29.2453804
2004-02-24,21.9734764
2004-02-25,26.8951988
2004-02-26,22.7660637
2004-02-27,-9999
2004-02-28,22.8039799
2004-02-29,20.0555382
2004-03-01,26.2395897
2004-03-02,28.9170761
2004-03-03,29.4525051
2004-03-04,28.4078655
2004-03-05,25.1694145
2004-03-06,35.4085884
2004-03-07,-9999
2004-03-08,33.8370781
2004-03-09,35.5501938
2004-03-10,32.4735451
2004-03-11,29.3800125
2004-03-12,36.2119255
2004-03-13,38.7509003
2004-03-14,-9999
2004-03-15,41.8549614
2004-03-16,24.3272972
2004-03-17,41.20047
2004-03-18,40.5612144
2004-03-19,40.477581
2004-03-20,31.666851
2004-03-21,21.0268135
2004-03-22,32.3873863
2004-03-23,-9999
2004-03-24,40.3736382
2004-03-25,33.0469208
2004-03-26,30.8641109
2004-03-27,24.9306717
2004-03-28,30.1898556
2004-03-29,36.1940804
2004-03-30,-9999
2004-03-31,34.6072731
2004-04-01,32.8955536
2004-04-02,34.8512344
2004-04-03,39.2424088
2004-04-04,38.059391
2004-04-05,40.0938873
2004-04-06,39.905098
2004-04-07,40.4260139
2004-04-08,-9999
2004-04-09,42.6624565
2004-04-10,38.1677132
2004-04-11,37.140976
2004-04-12,29.8096371
2004-04-13,31.019556
2004-04-14,25.1531334
2004-04-15,-9999
2004-04-16,29.9254551
2004-04-17,24.482975
2004-04-18,24.2360573
2004-04-19,24.8139553
2004-04-20,22.1938763
2004-04-21,29.375349
2004-04-22,27.5076809
2004-04-23,38.6341934
2004-04-24,-9999
2004-04-25,48.0140953
2004-04-26,45.9050179
2004-04-27,43.7202835
2004-04-28,42.4571915
2004-04-29,43.456871
2004-04-30,40.8858604
2004-05-01,-9999
2004-05-02,40.7600746
2004-05-03,30.5139046
2004-05-04,37.7841377
2004-05-05,39.4003105
2004-05-06,42.8641548
2004-05-07,44.8474197
2004-05-08,43.5103645
2004-05-09,43.3152237
2004-05-10,-9999
2004-05-11,46.2818146
2004-05-12,39.4102821
2004-05-13,38.3916512
2004-05-14,40.3074341
2004-05-15,45.3391228
2004-05-16,48.423336
2004-05-17,-9999
2004-05-18,49.395031
2004-05-19,34.783947
2004-05-20,44.5372887
2004-05-21,37.3275375
2004-05-22,28.9232273
2004-05-23,26.1839657
2004-05-24,28.5883198
2004-05-25,28.7015057
2004-05-26,-9999
2004-05-27,40.6459236
2004-05-28,44.0367203
2004-05-29,41.5947762
2004-05-30,37.2528038
2004-05-31,47.9222069
2004-06-01,48.0338593
2004-06-02,-9999
2004-06-03,50.3804398
2004-06-04,36.8192825
2004-06-05,43.3393593
2004-06-06,46.86203
2004-06-07,50.3599663
2004-06-08,51.3269615
2004-06-09,42.6903267
2004-06-10,49.5168304
2004-06-11,-9999
2004-06-12,44.5577278
2004-06-13,42.9836159
2004-06-14,41.8394241
2004-06-15,40.6042442
2004-06-16,46.5433464
2004-06-17,34.7068253
2004-06-18,-9999
2004-06-19,46.3046455
2004-06-20,36.9402275
2004-06-21,52.0067482
2004-06-22,-9999
2004-06-23,42.7443314
2004-06-24,49.3045197
2004-06-25,45.7305527
2004-06-26,39.6139679
